Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label,Timestamp
24947.85546875,20290.376953125,15237.228515625,49722.83984375,37419.2578125,37111.80859375,-1657029.25,57369.796875,0,173651.7246552
24981.091796875,20292.76953125,15228.82421875,49762.6484375,37411.27734375,37124.21484375,-1657122.25,57412.2421875,0,173651.7286552
24978.365234375,20275.333984375,15214.005859375,49732.67578125,37413.9375,37113.1953125,-1657035.875,57420.359375,0,173651.73265519997
24932.65625,20271.333984375,15226.25390625,49702.2109375,37419.75,37101.63671875,-1656960.875,57371.69921875,0,173651.73665519996
24913.232421875,20286.3984375,15243.0849609375,49715.5546875,37425.1796875,37108.9921875,-1656998.375,57337.72265625,0,173651.74065519994
24947.966796875,20292.232421875,15231.7080078125,49765.4453125,37420.9765625,37123.56640625,-1657127.875,57366.80078125,0,173651.74465519993
24971.748046875,20291.583984375,15239.53125,49755.765625,37419.97265625,37123.34375,-1657065.5,57390.203125,0,173651.74865519992
24948.748046875,20276.966796875,15235.75390625,49716.44921875,37415.45703125,37102.28515625,-1657002.125,57362.1328125,0,173651.7526551999
24915.244140625,20272.5859375,15234.5244140625,49703.53125,37413.9609375,37096.921875,-1657011.75,57317.31640625,0,173651.7566551999
24943.5859375,20295.8984375,15237.20703125,49753.23828125,37416.953125,37121.30859375,-1657073.5,57335.421875,0,173651.76065519988
24984.623046875,20300.8828125,15240.8056640625,49762.046875,37413.33203125,37124.8828125,-1657070.5,57376.61328125,0,173651.7735515
24964.328125,20297.3515625,15251.66796875,49722.796875,37415.8125,37108.23046875,-1657028.375,57350.88671875,0,173651.77755149998
24940.74609375,20294.69140625,15248.8740234375,49711.9765625,37414.1171875,37103.1796875,-1656987.375,57313.78515625,0,173651.78155149997
24969.267578125,20305.822265625,15250.953125,49748.63671875,37404.7265625,37122.046875,-1657066.75,57333.58984375,0,173651.78555149995
25009.0546875,20310.314453125,15250.70703125,49763.92578125,37405.80078125,37133.578125,-1657081.25,57376.5703125,0,173651.78955149994
24988.958984375,20298.357421875,15250.4609375,49723.265625,37410.62890625,37116.859375,-1657021.75,57355.5390625,0,173651.79355149993
24937.931640625,20284.654296875,15245.8115234375,49703.171875,37411.30078125,37105.328125,-1657003.75,57293.8671875,0,173651.7975514999
24948.591796875,20296.2109375,15253.970703125,49739.6953125,37407.69921875,37122.0234375,-1657054.75,57293.625,0,173651.8015514999
25001.521484375,20316.86328125,15266.7998046875,49784.62109375,37412.23828125,37145.37890625,-1657091.25,57346.328125,0,173651.80555149989
24999.666015625,20300.033203125,15260.564453125,49738.28515625,37412.640625,37129.6015625,-1657019.875,57350.84375,0,173651.80955149987
24952.369140625,20290.556640625,15261.1455078125,49707.39453125,37407.6796875,37113.0390625,-1657002.375,57297.82421875,0,173651.8083356
24949.84375,20297.484375,15254.529296875,49732.02734375,37400.75,37119.72265625,-1657057.125,57288.50390625,0,173651.8123356
24990.12109375,20309.98046875,15246.1923828125,49776.41796875,37400.2109375,37141.19921875,-1657112.125,57325.18359375,0,173651.8163356
24988.19921875,20305.419921875,15253.5908203125,49740.27734375,37398.9609375,37126.60546875,-1657029.75,57321.78515625,0,173651.82033559997
24939.697265625,20300.212890625,15250.3271484375,49710.9296875,37409.0625,37107.515625,-1657001.375,57269.640625,0,173651.82433559996
24932.96875,20308.212890625,15250.55078125,49726.7734375,37414.8984375,37118.42578125,-1657030.0,57246.640625,0,173651.82833559994
24995.107421875,20331.794921875,15262.0166015625,49777.87109375,37415.234375,37146.140625,-1657100.0,57310.41015625,0,173651.83233559993
25016.296875,20322.607421875,15265.2802734375,49749.1953125,37417.0,37140.3515625,-1657045.0,57340.203125,0,173651.83633559992
24974.87890625,20300.658203125,15252.4052734375,49708.3359375,37412.1953125,37114.22265625,-1657005.875,57300.5078125,0,173651.8403355999
24949.30859375,20303.900390625,15255.19921875,49711.77734375,37413.71484375,37111.875,-1657019.25,57268.4765625,0,173651.8443355999
24979.482421875,20328.3984375,15261.525390625,49763.453125,37421.6015625,37146.67578125,-1657122.875,57306.20703125,0,173651.8418098
24998.68359375,20324.619140625,15258.26171875,49751.875,37422.09375,37145.91796875,-1657074.875,57342.52734375,0,173651.8458098
24974.005859375,20304.458984375,15249.1201171875,49712.76171875,37417.4453125,37123.7890625,-1657007.75,57326.14453125,0,173651.84980979998
24942.646484375,20297.08203125,15247.845703125,49702.45703125,37412.1484375,37116.16796875,-1657028.125,57292.03515625,0,173651.85380979997
24971.66015625,20316.126953125,15256.2724609375,49752.27734375,37414.4296875,37137.2890625,-1657088.0,57329.609375,0,173651.85780979996
25001.87890625,20318.294921875,15258.1728515625,49758.0234375,37413.98046875,37141.46875,-1657090.875,57372.30078125,0,173651.86180979994
24980.109375,20304.056640625,15256.2724609375,49715.375,37416.796875,37125.890625,-1657004.5,57359.203125,0,173651.86580979993
24951.7890625,20296.501953125,15249.5224609375,49711.0390625,37417.1796875,37114.6015625,-1657003.0,57337.43359375,0,173651.86980979991
24966.96484375,20316.685546875,15264.296875,49753.171875,37428.35546875,37139.9921875,-1657076.75,57359.47265625,0,173651.8738097999
