Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label,Timestamp
17716.796875,25369.521484375,20931.6484375,59143.5859375,37768.90625,47086.83203125,-1655690.0,63272.3125,0,174524.80589770002
17752.44921875,25377.12109375,20935.494140625,59191.5546875,37767.4296875,47101.00390625,-1655786.0,63311.2265625,0,174524.8098977
17759.890625,25371.48828125,20931.224609375,59178.72265625,37769.6875,47096.66796875,-1655733.5,63334.515625,0,174524.8138977
17724.732421875,25358.791015625,20922.08203125,59135.16015625,37763.40625,47081.46875,-1655668.5,63292.765625,0,174524.81789769998
17709.2421875,25357.205078125,20921.5234375,59130.265625,37763.96484375,47080.44140625,-1655691.125,63256.734375,0,174524.82189769996
17736.421875,25362.2109375,20923.669921875,59170.25390625,37762.734375,47096.9375,-1655780.875,63282.28125,0,174524.82589769995
17752.11328125,25355.037109375,20913.9453125,59172.109375,37750.10546875,47090.6328125,-1655761.125,63313.68359375,0,174524.82989769994
17729.626953125,25347.794921875,20906.615234375,59137.57421875,37746.8671875,47073.80078125,-1655680.125,63295.9140625,0,174524.83389769992
17705.287109375,25349.380859375,20907.978515625,59117.48046875,37751.73828125,47070.94140625,-1655659.375,63264.01953125,0,174524.8378976999
17717.04296875,25361.361328125,20908.828125,59158.02734375,37757.66015625,47086.54296875,-1655754.375,63266.3671875,0,174524.8418976999
17732.82421875,25365.876953125,20905.921875,59176.890625,37760.0546875,47091.7265625,-1655753.0,63292.609375,0,174524.8331554
17716.1484375,25355.103515625,20896.2890625,59138.3359375,37757.34765625,47078.5390625,-1655688.375,63277.51953125,0,174524.8371554
17686.95703125,25348.64453125,20887.056640625,59118.48828125,37753.9296875,47065.46484375,-1655680.625,63236.5703125,0,174524.84115539998
17694.87109375,25359.126953125,20887.52734375,59152.41796875,37749.234375,47075.14453125,-1655747.125,63236.796875,0,174524.84515539996
17743.5078125,25367.107421875,20887.5703125,59183.8203125,37751.8515625,47088.375,-1655795.125,63292.85546875,0,174524.84915539995
17743.3515625,25354.90234375,20886.162109375,59138.71484375,37748.8125,47071.07421875,-1655743.625,63298.2421875,0,174524.85315539993
17713.6015625,25350.8125,20885.783203125,59114.0625,37744.36328125,47059.1171875,-1655670.75,63259.37109375,0,174524.85715539992
17725.134765625,25357.40625,20888.287109375,59136.58984375,37740.02734375,47066.2265625,-1655743.625,63260.21875,0,174524.8611553999
17749.69921875,25367.28515625,20893.091796875,59168.375,37745.5234375,47080.28515625,-1655782.0,63298.9765625,0,174524.8651553999
17756.91796875,25361.98828125,20887.548828125,59143.83203125,37744.47265625,47069.51171875,-1655724.375,63318.1796875,0,174524.86915539988
17734.521484375,25360.2890625,20888.755859375,59127.2265625,37758.15234375,47064.9296875,-1655657.875,63281.54296875,0,174524.86328730002
17729.1796875,25367.642578125,20893.494140625,59150.203125,37764.234375,47075.41015625,-1655708.5,63259.01171875,0,174524.8672873
17756.91796875,25378.662109375,20894.478515625,59189.7421875,37765.640625,47089.94140625,-1655799.125,63282.08203125,0,174524.8712873
17774.509765625,25381.478515625,20898.255859375,59173.29296875,37776.16796875,47093.203125,-1655729.375,63318.53515625,0,174524.87528729998
17762.6640625,25377.791015625,20902.92578125,59141.59765625,37776.2578125,47089.3359375,-1655651.125,63304.1875,0,174524.87928729996
17747.75390625,25380.71875,20907.552734375,59141.91015625,37777.375,47099.41796875,-1655683.875,63286.6171875,0,174524.88328729995
17786.7578125,25407.02734375,20923.87109375,59205.79296875,37794.921875,47133.30078125,-1655802.625,63338.02734375,0,174524.88728729993
17801.845703125,25420.548828125,20935.224609375,59208.5625,37812.625,47146.06640625,-1655712.25,63368.9375,0,174524.89128729992
17771.201171875,25419.5,20943.13671875,59193.3203125,37821.67578125,47143.5390625,-1655641.5,63337.48828125,0,174524.8952872999
17750.212890625,25423.56640625,20947.33984375,59208.07421875,37824.60546875,47144.9921875,-1655653.25,63304.96875,0,174524.8992872999
17766.88671875,25439.50390625,20954.068359375,59237.6875,37838.73046875,47163.58984375,-1655747.375,63324.79296875,0,174524.8942408
17769.078125,25431.546875,20942.310546875,59220.87890625,37831.1328125,47155.98828125,-1655742.625,63356.64453125,0,174524.8982408
17722.318359375,25408.322265625,20929.81640625,59165.58203125,37789.89453125,47123.4453125,-1655681.125,63329.3984375,0,174524.90224079997
17703.275390625,25399.248046875,20926.75390625,59148.59375,37765.171875,47109.38671875,-1655678.5,63285.9453125,0,174524.90624079996
17743.955078125,25409.552734375,20932.431640625,59184.671875,37765.1484375,47127.265625,-1655755.75,63306.51171875,0,174524.91024079995
17767.826171875,25414.828125,20938.01953125,59206.6875,37773.6875,47138.46484375,-1655744.125,63344.26171875,0,174524.91424079993
17756.91796875,25400.076171875,20933.123046875,59182.5,37774.3125,47122.73046875,-1655711.5,63343.66015625,0,174524.91824079992
